Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  72.4 m2 
  MAIN WING SWEEP ...............  23.3 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00015 | 0.00045 | 0.00124 | 0.00319 | 0.00774 | 0.01787 | 0.03945 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00019 | 0.00055 | 0.00151 | 0.00389 | 0.00944 | 0.02181 | 0.04813 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00023 | 0.00067 | 0.00183 | 0.00472 | 0.01146 | 0.02646 | 0.05840 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00027 | 0.00080 | 0.00221 | 0.00568 | 0.01381 | 0.03189 | 0.07038 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00033 | 0.00096 | 0.00264 | 0.00680 | 0.01651 | 0.03812 | 0.08413 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00039 | 0.00114 | 0.00313 | 0.00805 | 0.01956 | 0.04516 | 0.09965 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00045 | 0.00134 | 0.00367 | 0.00944 | 0.02293 | 0.05295 | 0.11686 | 
 0.650 |  0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00052 | 0.00155 | 0.00426 | 0.01095 | 0.02660 | 0.06143 | 0.13557 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00019 | 0.00060 | 0.00178 | 0.00488 | 0.01256 | 0.03051 | 0.07044 | 0.15547 | 
 0.750 |  0.00000 | 0.00001 | 0.00006 | 0.00021 | 0.00068 | 0.00201 | 0.00553 | 0.01423 | 0.03456 | 0.07981 | 0.17614 | 
 0.800 |  0.00000 | 0.00002 | 0.00007 | 0.00024 | 0.00076 | 0.00225 | 0.00619 | 0.01592 | 0.03867 | 0.08929 | 0.19706 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
