Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  74.8 m2 
  ASPECT RATIO ....................   9.2    
  WING SWEEP ......................  25.0 deg
  WING THICKNESS RATIO ............  0.11    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.784    
  MEAN AEROD. CHORD ............... 3.099 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       32.9    |      1.210    |    0.00283    |      0.996    |      0.990    |
 main_wing                            |    0.00713    |      149.5    |      1.239    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00231    |       47.8    |      1.216    |    0.00297    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        7.0    |      1.185    |    0.00288    |      0.996    |      0.990    |
 fuselage                             |    0.00851    |      280.0    |      1.106    |    0.00206    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00080    |       17.5    |      1.185    |    0.00288    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00139    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02276    |      552.4    |               |               |               |               |


-------------------------------------------
 Thursday, 27. September 2018 08:25:32 PM
