Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  75.0 m2 
  ASPECT RATIO ....................  10.6    
  WING SWEEP ......................  34.9 deg
  WING THICKNESS RATIO ............  0.14    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.763    
  MEAN AEROD. CHORD ............... 2.888 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00149    |       33.0    |      1.210    |    0.00279    |      0.996    |      0.990    |
 main_wing                            |    0.00716    |      150.1    |      1.245    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00228    |       48.0    |      1.216    |    0.00294    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        7.0    |      1.185    |    0.00284    |      0.996    |      0.990    |
 fuselage                             |    0.00840    |      280.0    |      1.106    |    0.00204    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00079    |       17.5    |      1.185    |    0.00284    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00138    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02260    |      553.2    |               |               |               |               |


-------------------------------------------
 Tuesday, 25. September 2018 08:56:33 PM
