Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  74.5 m2 
  ASPECT RATIO ....................   9.7    
  WING SWEEP ......................  29.4 deg
  WING THICKNESS RATIO ............  0.12    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.775    
  MEAN AEROD. CHORD ............... 3.002 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       32.8    |      1.210    |    0.00281    |      0.996    |      0.990    |
 main_wing                            |    0.00710    |      149.0    |      1.235    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00230    |       47.7    |      1.216    |    0.00296    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        7.0    |      1.185    |    0.00286    |      0.996    |      0.990    |
 fuselage                             |    0.00850    |      280.0    |      1.106    |    0.00205    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00080    |       17.5    |      1.185    |    0.00286    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00139    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02271    |      551.6    |               |               |               |               |


-------------------------------------------
 Thursday, 27. September 2018 07:33:09 PM
