Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  63.2 m2 
  ASPECT RATIO ....................  13.8    
  WING SWEEP ......................   0.0 deg
  WING THICKNESS RATIO ............  0.15    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.697    
  MEAN AEROD. CHORD ............... 2.210 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00176    |       33.2    |      1.238    |    0.00270    |      0.996    |      0.990    |
 main_wing                            |    0.00832    |      126.3    |      1.447    |    0.00288    |      0.996    |      0.990    |
 turboprop  (EACH)                    |    0.00070    |       13.4    |      1.148    |    0.00287    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00149    |       23.4    |      1.331    |    0.00302    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00028    |        5.4    |      1.148    |    0.00287    |      0.996    |      0.990    |
 fuselage                             |    0.00700    |      200.0    |      1.112    |    0.00199    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00131    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00614    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02769    |      415.1    |               |               |               |               |


-------------------------------------------
 Wednesday, 26. September 2018 04:11:20 AM
