Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  64.0 m2 
  ASPECT RATIO ....................  14.0    
  WING SWEEP ......................   3.4 deg
  WING THICKNESS RATIO ............  0.15    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.695    
  MEAN AEROD. CHORD ............... 2.205 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00178    |       34.2    |      1.238    |    0.00269    |      0.996    |      0.990    |
 main_wing                            |    0.00826    |      127.9    |      1.437    |    0.00288    |      0.996    |      0.990    |
 turboprop  (EACH)                    |    0.00069    |       13.4    |      1.148    |    0.00287    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00148    |       23.6    |      1.331    |    0.00302    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00028    |        5.4    |      1.148    |    0.00287    |      0.996    |      0.990    |
 fuselage                             |    0.00691    |      200.0    |      1.112    |    0.00199    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00130    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00614    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02753    |      417.9    |               |               |               |               |


-------------------------------------------
 Wednesday, 26. September 2018 01:28:02 AM
