Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  75.9 m2 
  MAIN WING SWEEP ...............  30.0 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00023 | 0.00062 | 0.00160 | 0.00389 | 0.00898 | 0.01983 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00027 | 0.00075 | 0.00194 | 0.00471 | 0.01089 | 0.02403 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00033 | 0.00091 | 0.00234 | 0.00569 | 0.01315 | 0.02902 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00040 | 0.00109 | 0.00281 | 0.00684 | 0.01579 | 0.03484 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00047 | 0.00130 | 0.00335 | 0.00814 | 0.01879 | 0.04148 | 
 0.550 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00019 | 0.00056 | 0.00153 | 0.00395 | 0.00959 | 0.02215 | 0.04887 | 
 0.600 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00022 | 0.00065 | 0.00179 | 0.00460 | 0.01117 | 0.02578 | 0.05690 | 
 0.650 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00025 | 0.00075 | 0.00205 | 0.00528 | 0.01283 | 0.02962 | 0.06536 | 
 0.700 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00029 | 0.00085 | 0.00232 | 0.00598 | 0.01452 | 0.03353 | 0.07400 | 
 0.750 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00094 | 0.00259 | 0.00666 | 0.01619 | 0.03739 | 0.08251 | 
 0.800 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00035 | 0.00104 | 0.00284 | 0.00731 | 0.01776 | 0.04102 | 0.09052 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
